NAME	FMISID	LPNN	WMO	LATITUDE	LONGITUDE	ELEVATION	GROUPS	STARTYEAR	ENDYEAR
Ilomantsi kk	101634			62.67	30.93	162	Precipitation	1959	2002
Ilomantsi Käenkoski	105733			62.92	30.93		Precipitation	1942	1945
Ilomantsi Laukkuvaara	106372			63.08	31.05		Precipitation	1935	1940
Ilomantsi Lehtovaara	101640	3908		62.8	31.13	200	Precipitation	1964	1974
Ilomantsi Mekrijärvi	101651	3919	2939	62.77	30.98	155	Weather	1999	
Ilomantsi Naarva	105708			63.03	31.03		Precipitation	1942	1945
Ilomantsi Naarva	101641	3909		63.03	31.06	245	Precipitation	1989	
Ilomantsi Pahkalampi	106176			62.85	31.72		Precipitation	1934	1935
Ilomantsi Pötsönvaara	101649	3917	2766	63.14	31.04	233	Weather;Air quality	1997	
Ilomantsi Vuottoniemi	105865			62.85	31.88		Precipitation	1936	1940
Ilomantsi Välivaara	101645	3913		62.87	31.25	194	Weather	1976	1989
Imatra Mansikkala	103118			61.19	28.77	75	Air quality (urban)	1998	
Imatra Pelkolan tulliasema Raja	103119			61.13	28.84	60	Air quality (urban)	1991	
Imatra Rautionkylä	103121			61.24	28.87	101	Air quality (urban)	1987	
Imatra Sairaala	104269			61.22	28.82	100	Air quality (urban)	1990	1996
Imatra Siitola	101240	1704		61.17	28.78	58	Precipitation	1902	1991
Imatra Teppanala	103122			61.15	28.81	62	Air quality (urban)	1994	
Impilahti	105819			61.63	31.2		Precipitation	1922	1930
Impilahti Kirkonkylä	106033			61.67	31.13		Precipitation	1936	1940
Impilahti Pitkäranta	105463			61.58	31.45		Precipitation	1931	1940
Inari Angeli	102024	9403		68.91	25.66	203	Precipitation	1950	2017
Inari Angeli Lintupuoliselkä	102026	9405	2857	68.9	25.74	285	Weather	2008	
Inari Ivalo	102037	9605		68.67	27.57	123	Precipitation	1909	2007
Inari Ivalo airport	102033	9601	2807	68.61	27.42	140	Weather	1957	
Inari Ivalonmatti	101996	8406		68.37	25.91	262	Precipitation	1981	1997
Inari Kaamanen	102041	9610		69.12	27.18		Precipitation	1955	1986
Inari Kaamanen	102047	9616	2702	69.14	27.27	156	Weather	2008	
Inari Kiellajoki	102030	9504		69.3	26.73		Weather	1971	1972
Inari Kiilopää	102004	8605		68.35	27.45	326	Weather	1967	1979
Inari Kirakkajärvi	102055	9708	2858	69.58	28.89	106	Weather	2009	
Inari Kirakkajärvi Sanilanlampi	102053	9706	2808	69.58	28.84	125	Weather	1993	2011
Inari kk	102043	9612		68.9	27.01	135	Precipitation	1994	1996
Inari Kuttura	101999	8503		68.4	26.46	232	Precipitation	1985	2004
Inari Laanila	102002	8603		68.4	27.38	285	Weather	1960	1971
Inari Menesjärvi	102031	9505		68.73	26.43		Precipitation	1980	1996
Inari Nellim	102052	9705	2835	68.85	28.3	121	Weather	1990	
Inari Nellim	102048	9701	5107	68.85	28.3	120	Weather	1951	1999
Inari Näätämö	102056	9801		69.67	29.09	85	Precipitation	1949	2007
Inari Paadar	102027	9501		68.77	26.23	200	Precipitation	1949	1978
Inari parish	102046	9615		68.91	27.02	127	Precipitation	2003	
Inari Partakko	102038	9606		69.18	27.91	120	Weather	1969	1985
Inari Pikku-Säytsjärvi	102039	9607		69.4	27.26	228	Precipitation	1969	1980
Inari Raja-Jooseppi	102009	8704	2818	68.48	28.3	253	Weather;Air quality	1992	
Inari Raja-Jooseppi Kontiojärvi	102008	8702		68.47	28.32	185	Precipitation	1960	
Inari Repojoki	101992	8402		68.43	25.95		Precipitation	1968	1979
Inari Riutula	102028	9502		68.93	26.81	148	Precipitation	1924	2003
Inari Saariselkä Kaunispää	102006	8607	2817	68.43	27.44	437	Weather	1995	
Inari Saariselkä tourist centre	102005	8606	2722	68.42	27.41	302	Weather	1976	
Inari Seitalaassa	129963	9617	2888	69.05	27.76	120	Weather	2011	
Inari Sevettijärvi	102051	9704	5507	69.51	28.59	100	Weather	1985	2009
Inari Sevettijärvi	102050	9703		69.55	28.63	96	Weather	1971	1978
Inari Sevettijärvi Varpuniemi	102049	9702		69.55	28.63		Precipitation	1949	1971
Inari Solojärvi	102029	9503		68.87	26.83	145	Precipitation	1968	1996
Inari Toivoniemi	102034	9602		69.07	27.12	152	Weather	1956	1996
Inari Väylä	102042	9611	2827	69.07	27.49	123	Weather	1990	
Inkoo	106282			60.08	23.88		Precipitation	1922	1925
Inkoo Bågaskär	100969	302	2984	59.93	24.01	12	Weather	1955	
Inkoo Heimgård	103150			60.04	23.98	5	Air quality (urban)	1980	
Inkoo Västankvarn	106382			60.08	23.97		Precipitation	1942	1954
Isojoki	105626			62.2	21.8		Precipitation	1922	1930
Isojoki Isojoenkylä	106302			62.12	21.97		Precipitation	1942	1943
Isojoki Kärjenkoski	101258	2004		62.13	21.67	54	Precipitation	1942	
Isojoki Sarviluoma	101286	2118		62.12	22.05	115	Precipitation	1968	1996
Isojoki Vanhakylä	101259	2005		62.18	21.8	70	Precipitation	1922	2004
Isojoki Vesijärvi	105638			62.07	21.72		Precipitation	1942	1966
Jaakkima Vaara	106315			61.53	30.17		Precipitation	1925	1945
Jaala	105702			61.05	26.45		Precipitation	1922	1923
Jaala Kimola	105902			61.02	26.33		Precipitation	1931	1941
Jaala Kirkonkylä	105549			61.05	26.47		Precipitation	1942	1950
Jaala Siikava	105435			61.08	26.5		Precipitation	1935	1951
Jaala Uimila	105956			61.15	26.37		Precipitation	1942	1949
Jalasjärvi Hirvijärv	101285	2117		62.47	22.91	100	Precipitation	1920	
Jalasjärvi Keskikylä	105962			62.5	22.68		Precipitation	1942	1943
Jalasjärvi Koskue	106187			62.32	22.87		Precipitation	1942	1966
Jalasjärvi Koskue	101283	2115		62.32	22.86	140	Precipitation	1942	2008
Janakkala	106268			60.92	24.65		Precipitation	1925	1929
Janakkala Kiipula	101140	1312		60.88	24.75	80	Precipitation	1962	1973
Janakkala Leppäkoski	106002			60.85	24.73		Precipitation	1948	1956
Janakkala Turenki	105864			60.93	26.68		Precipitation	1949	1951
Janakkala Turenki	101141	1313		60.93	24.68	110	Precipitation	1949	1991
Jepua	106235			63.38	22.68		Precipitation	1924	1933
Jepua Jungar	105721			63.43	22.67		Precipitation	1942	1951
Joensuu Huhtilampi	101460	2903		62.43	30.41	140	Precipitation	1956	
Joensuu Keskijärvi	101648	3916		62.58	30.27	150	Precipitation	1985	2008
Joensuu Koskikatu 1	103148			62.6	29.76	80	Air quality (urban)	2003	
Joensuu Linnunlahti	101632	3825	2928	62.6	29.72	81	Weather	2008	
Joensuu Pyhäselkä	101610	3803		62.52	29.81	79	Precipitation	1908	
Johannes Kaislahti	106170			60.58	28.7		Precipitation	1933	1940
Jokioinen	105769			60.8	23.5		Precipitation	1923	1924
Jokioinen Ilmala	101104	1201	2963	60.81	23.5	104	Weather;Sounding	1957	
Jokioinen Maatal.Tutk.Kesk.	106342			60.82	23.47		Precipitation	1961	1962
Jokioinen Observatory AWS	101122	1220	2923	60.81	23.5	104	Weather	1995	2013
Jomala Jomalaby	100917	11	2741	60.18	19.99	11	Weather	1971	
Jomala Mariehamn airport	100907	1	2970	60.12	19.9	2	Weather	1950	
Joroinen Häyrilä	105564			62.18	27.82		Precipitation	1942	1949
Joroinen Järvikylä	106120			62.2	27.72		Precipitation	1942	1947
Joroinen Kiekka	101419	2623		62.23	27.58	90	Precipitation	1995	2008
Joroinen Kotkatlahti	101406	2610		62.18	27.91	90	Precipitation	1908	1979
Joroinen Montolanmäki	101414	2618		62.18	27.6	104	Precipitation	1979	1995
Joutsa	105747			61.8	26.07		Precipitation	1958	1966
Joutsa Jousa	101378	2513		61.73	26.06	100	Precipitation	1967	1999
Joutsa kk	101382	2517		61.8	26.06		Precipitation	1926	1977
Joutsa Leivonmäki	101394	2529		61.91	26.12	147	Precipitation	1977	2010
Joutsa Mieskonmäki Kälä	101383	2518		61.85	26.26	101	Precipitation	1967	2008
Joutsa Mieskonmäki Säynätniemi	101381	2516		61.8	26.21	100	Precipitation	1967	2008
Joutsa Pärnämäki	105546			61.77	26.4		Precipitation	1945	1965
Joutsa Pärnämäki	101390	2525		61.77	26.39	116	Precipitation	1969	
Joutsa Pärnämäki	101379	2514		61.77	26.36		Precipitation	1945	1970
Joutsa Savenaho	101367	2501	2771	61.88	26.09	146	Weather	1932	
Joutsa Tammilahti	105603			61.8	26.03		Precipitation	1926	1958
Joutsa Uimaniemi	101377	2512		61.7	26.26	155	Precipitation	1967	2008
Joutseno	105643			61.13	28.53		Precipitation	1927	1966
Joutseno Honkalahti	101239	1703		61.13	28.48	80	Precipitation	1956	1973
Joutseno Pätilä	106383			61.13	28.53		Precipitation	1942	1943
Joutseno Ravattila	105629			61.07	28.55		Precipitation	1936	1961
Juuka Halivaara	101602	3715		63.03	28.98	175	Precipitation	1974	1977
Juuka Järvikylä	101620	3813		63.1	29.46		Precipitation	1968	1996
Juuka Niemelä	101609	3802	2791	63.23	29.23	115	Weather	1914	
Juuka Timovaara	105600			63.08	29.28		Precipitation	1945	1966
Juupajoki Hyytiälä	101317	2303	2770	61.85	24.29	154	Precipitation;Weather;Air quality	1956	
Juupajoki Höyde	101323	2309		61.78	24.55	118	Precipitation	1935	1996
Juupajoki Kokkila	106026			61.75	24.48		Precipitation	1942	1959
Juupajoki Sahrajärvi	101324	2310		61.82	24.5	106	Precipitation	1936	2008
Juva	106137			61.75	27.72		Precipitation	1924	1930
Juva Ahola	105799			61.72	27.9		Precipitation	1942	1945
Juva Hatsola	105654			61.85	27.8		Precipitation	1942	1956
Juva Hatsola	101405	2609		61.87	27.76	119	Precipitation	1942	1990
Juva kk Partala	101417	2621		61.9	27.88	112	Precipitation	1991	1993
Juva Paatela	106150			61.92	28.03		Precipitation	1934	1940
Juva Partala	101418	2622	2736	61.89	27.89	110	Weather	1992	
Juva Tuhkala	105746			61.82	27.55		Precipitation	1939	1962
Jyväskylä airport	101339	2401	2935	62.4	25.67	139	Precipitation;Weather	1945	
Jyväskylä Hannikaisenkatu	106796			62.24	25.75	82	Air quality (urban)	2018	
Jyväskylä Keljo	101361	2425	5476	62.2	25.71	137	Weather	1981	2000
Jyväskylä keskusta	101341	2403		62.23	25.73	115	Weather	1883	1981
Jyväskylä Kortepohja	104135			62.25	25.7	106	Air quality (urban)	1988	1999
Jyväskylä Kuokkala	104267			62.23	25.77	100	Air quality (urban)	1992	1995
Jyväskylä Kypärämäki	101354	2416		62.23	25.71	113	Precipitation	1950	1981
Jyväskylä Lyseo	104131			62.24	25.74	101	Air quality (urban)	1980	2000
Jyväskylä Lyseo 2	103127			62.24	25.74	101	Air quality (urban)	2000	
Jyväskylä Muuratjärvi	101352	2414		62.16	25.42	123	Precipitation	1958	
Jyväskylä Nyrölä	106399			62.37	25.32		Precipitation	1928	1929
Jyväskylä Palokka	104146			62.29	25.74	108	Air quality (urban)	1990	1994
Jyväskylä Palokka 2	103128			62.29	25.71	143	Air quality (urban)	2000	
Jyväskylä Pupuhuhta	104132			62.27	25.79	158	Air quality (urban)	1988	
Jyväskylä Säynätsalo 2	104338			62.14	25.77	94	Air quality (urban)	1995	1998
Jyväskylä Taulumäki	106181			62.23	25.73		Precipitation	1942	1944
Jyväskylä Vaajakoski	104145			62.25	25.87	111	Air quality (urban)	1988	1994
Jyväskylä Vaajakoski 2	104337			62.25	25.87	117	Air quality (urban)	1995	1999
Jyväskylän mlk Tikkakoski	101360	2424		62.4	25.6	148	Weather	1978	1988
Jämijärvi Kontti	105742			61.82	22.77		Precipitation	1922	1924
Jämijärvi Peijari	106127			61.82	22.7		Precipitation	1922	1946
Jämijärvi Pirttijärvi	101278	2109		61.73	22.71	115	Precipitation	1965	2009
Jämsä Halli airport	101315	2301	2945	61.86	24.8	143	Weather	1964	
Jämsä Halli Lentoasemantie	101338	2324	2946	61.86	24.81	144	Weather	2008	
Jämsä Himos	101364	2428	2729	61.89	25.33	205	Weather	1994	2011
Jämsä Honkola	106059			61.87	25.22		Precipitation	1942	1948
Jämsä Lääkäritalo	104113			61.87	25.2	82	Air quality (urban)	1978	
Jämsä Seppola	101349	2411		61.87	25.18	85	Precipitation	1909	1993
Jämsä Seppolantie	103129			61.87	25.2	90	Air quality (urban)	2013	
Jämsä Taidetalo	104265			61.92	25.17	105	Air quality (urban)	1978	2002
Jämsä Yläaste	104026			61.92	25.16	120	Air quality (urban)	2003	2011
Jämsän maatalous- Ja puutarhaoppilaitos	101366	2430		61.89	25.19	91	Precipitation	2001	2002
Jämsänkoski	101340	2402		61.92	25.15	100	Weather	1958	1966
Jäppilä Peräselkä	106183			62.42	27.28		Precipitation	1941	1947
Järvenpää	104038			60.47	25.09	20	Air quality (urban)	2006	2006
Järvenpää	101016	408		60.47	25.08	50	Weather	1959	1963
Järvenpää Helsingintie	103154			60.47	25.09	20	Air quality (urban)	2012	
Järvenpää Sorto	103786			60.48	25.08	51	Weather	2018	
Jääski Hämälälä	106023			61.07	28.85		Precipitation	1931	1940
Jääski Kostiala	106403			61.05	28.9		Precipitation	1942	1944
Jääski Rouhiala	105999			61.08	28.9		Precipitation	1928	1935
Kaarina Kaarina	100823			60.41	22.38	13	Air quality (urban)	2004	
Kaarina Yltöinen	100934	103	2828	60.39	22.55	6	Weather	1927	
Kaarinan keskusta	103993			60.41	22.37	13	Air quality (urban)	1999	2002
Kaavi Hirvisaari	106163			63.1	28.38		Precipitation	1925	1926
Kaavi Kaavinkylä	106238			62.98	28.48		Precipitation	1942	1946
Kaavi Maarianvaara Peltola	105917			62.87	28.87		Precipitation	1936	1953
Kaavi Maarianvaara Pietarila	105925			62.87	28.87		Precipitation	1942	1945
Kaavi Sivakkavaara	101624	3817		63.01	29.01	219	Precipitation	1977	2006
Kaavi Säyneinen	106358			63.17	28.58		Precipitation	1922	1923
Kajaani airport	101725	4601	2897	64.28	27.67	132	Weather	1956	
Kajaani kpki	101731	4607		64.22	27.71	144	Precipitation	1886	1975
Kajaani Kuluntalahti	106298			64.23	27.93		Precipitation	1923	1924
Kajaani Paltaniemi	101742	4618		64.29	27.64	128	Precipitation	2000	
Kajaani Petäisenniska	126736	4620	2883	64.22	27.75	160	Weather	2010	
Kajaani Pöllyvaara	104127			64.24	27.73	190	Air quality (urban)	1991	1997
Kajaanin keskusta	104126			64.22	27.73	150	Air quality (urban)	1991	2008
Kajaanin keskusta 2	104016			64.22	27.73	150	Air quality (urban)	1997	2008
Kalajoki Käännänkylä	101682	4307		64.2	24.15	33	Precipitation	1965	2002
Kalajoki Maakalla	103808			64.3	23.54	0	Buoy	2015	
Kalajoki Metsäkylä	101685	4310		64.27	24.21	40	Precipitation	1961	
Kalajoki Pitkäsenkylä	101683	4308		64.23	24.02	20	Precipitation	1958	
Kalajoki Pohjankylä	106272			64.27	23.97		Precipitation	1934	1950
Kalajoki Rahja	105920			64.22	23.77		Precipitation	1930	1947
Kalajoki Rahja	101672	4211		64.22	23.7	3	Weather	1977	1993
Kalajoki Tynkä	105847			64.22	24.03		Precipitation	1941	1951
Kalajoki Ulkokalla	101673	4212	2907	64.33	23.45	3	Weather	1977	
Kalanti Kylähiisi	105505			60.85	21.58		Precipitation	1941	1966
Kalanti Varhela	105557			60.8	21.7		Precipitation	1939	1966
Kalvola Pirttikoski	105487			61.08	24.12		Precipitation	1939	1966
Kangasala Herttuala	106119			61.47	24.1		Precipitation	1942	1946
Kangasala Jokiranta	101335	2321		61.52	24.04	91	Precipitation	1986	2008
Kangasala Kirkonkylä	105707			61.47	24.08		Precipitation	1922	1951
Kangasala Köyrä	101316	2302		61.55	24.23	98	Precipitation	1965	1989
Kangaslampi Harjula	105850			62.28	28.2		Precipitation	1924	1931
Kangaslampi Kirkonkylä	106290			62.3	28.25		Precipitation	1942	1945
Kangaslampi Viljolahti	105884			62.25	28.5		Precipitation	1935	1941
Kangasniemi Istruala	101384	2519		61.88	26.38		Precipitation	1972	1972
Kangasniemi Kutemajärvi	101387	2522		62.1	26.73		Precipitation	1937	1985
Kangasniemi Lukkarinmäki	101395	2530		62.12	26.8	140	Precipitation	1985	2008
Kangasniemi parish	101385	2520		61.98	26.64	105	Precipitation	1909	
Kangasniemi Pölläkkä	105866			62.17	26.62		Precipitation	1941	1966
Kankaanpää	105996			61.92	22.5		Precipitation	1922	1923
Kankaanpää	105705			61.92	22.5		Precipitation	1923	1933
Kankaanpää Alahonkajoki	105503			61.9	22.23		Precipitation	1946	1959
Kankaanpää Kirkonkylä	105834			61.8	22.4		Precipitation	1942	1946
Kankaanpää Niinisalo	105793			61.85	22.47		Precipitation	1934	1944
Kankaanpää Niinisalo airfield	101291	2123	2753	61.84	22.46	123	Weather	1998	
Kanneljärvi Kirkonkylä	105794			60.35	29.42		Precipitation	1925	1943
Kannonkoski kk	101542	3406		62.97	25.25	150	Precipitation	1922	2008
Kannonkoski Pudasjärvi	106365			62.97	25.25		Precipitation	1935	1939
Kannus	106393			63.9	24		Precipitation	1926	1928
Kannus kirkonkylä	106215			63.9	23.92		Precipitation	1934	1950
Kannus Ylikannus	101680	4305		63.87	24.05	70	Precipitation	1960	1991
Karhula Eskola	105631			60.53	26.92		Precipitation	1952	1966
Karijoki Kankalo	101266	2012	5472	62.32	21.84	100	Weather	1993	2008
Karijoki Myrkky	105990			62.38	21.55		Precipitation	1935	1966
Karijoki Ylikylä	106118			62.32	21.7		Precipitation	1942	1945
Karjaa Knapsby Mustio	100960	210		60.15	23.83		Precipitation	1957	1996
Karjala Tl	105827			60.78	22.12		Precipitation	1922	1927
Karjalohja	105651			60.3	23.73		Precipitation	1922	1930
Karjalohja Särkijärvi	105528			60.22	23.68		Precipitation	1942	1947
Karkkila Nyhkälä	105735			60.53	24.22		Precipitation	1942	1943
Karkku	106240			61.42	22.97		Precipitation	1928	1930
Karkku Heinoo	101087	1123		61.4	22.98	74	Precipitation	1909	1970
Karkku Palviala	105565			61.45	23.03		Precipitation	1942	1966
Karstula	105723			62.88	24.52		Precipitation	1926	1930
Karstula Kangasaho	105597			62.8	24.68		Precipitation	1948	1955
Karstula kk	101525	3306		62.87	24.8	155	Precipitation	1967	2008
Karstula Vahanka	101535	3316		62.88	24.58		Precipitation	1900	1965
Karttula Airaksela	106191			62.73	27.43		Precipitation	1936	1939
Karttula kk	101560	3507		62.92	26.98	104	Precipitation	1913	2008
Karttula Lyytikkälä	105892			62.93	27.13		Precipitation	1936	1943
Karuna Kasklahti	105598			60.32	22.55		Precipitation	1942	1966
Karuna Maalu	105445			60.27	22.6		Precipitation	1926	1958
Karunki	106219			66.02	24.03		Precipitation	1927	1930
Karunki Kirkonkylä	105972			66.03	24		Precipitation	1929	1951
Karvia	105840			62.18	22.58		Precipitation	1923	1930
Karvia Alkkia	101272	2103	2708	62.18	22.8	161	Weather	1966	
Karvia Kirkonkylä	106255			62.18	22.58		Precipitation	1926	1927
Karvia kk	101281	2113		62.13	22.56	136	Precipitation	1924	2008
Kaskinen	104332			62.38	21.22	7	Air quality (urban)	1993	
Kaskinen Sälgrund	101256	2002	2931	62.33	21.19	5	Weather	1959	
Kaskinen Ådskär	134251			62.34	21.21	0	Mareograph	1926	
Kauhajoki Kainasto	101292	2124		62.47	22.05		Precipitation	1900	1965
Kauhajoki kaupunki	101284	2116		62.42	22.19	93	Precipitation	1942	2018
Kauhajoki Kirkonkylä	105914			62.42	22.18		Precipitation	1922	1946
Kauhajoki Kuja-Kokko	101289	2121	2769	62.41	22.18	93	Weather	1986	
Kauhajoki Muurahainen	101290	2122		62.15	22.26	125	Precipitation	1987	2009
Kauhajoki Muurahainen	101287	2119		62.15	22.23	150	Precipitation	1969	1987
Kauhajoki Nummijärvi	105644			62.22	22.5		Precipitation	1942	1954
Kauhajoki Nummijärvi	101282	2114		62.28	22.4	166	Precipitation	1949	2008
Kauhajoki Nummijärvi	106116			62.3	22.43		Precipitation	1934	1942
Kauhajoki Nummijärvi	106249			62.42	22.18		Precipitation	1929	1934
Kauhajoki Nummikoski	106400			62.22	22.48		Precipitation	1939	1942
Kauhajoki Nummikoski	105576			62.3	22.27		Precipitation	1942	1951
Kauhajoki Päntäne	105918			62.23	22.02		Precipitation	1941	1949
Kauhava airfield	101503	3201	2913	63.12	23.04	42	Weather	1931	
Kauhava Alakylä	106124			63.08	23.02		Precipitation	1942	1949
Kauhava Uunimaantie	101519	3218	2914	63.12	23.04	41	Weather	2008	2015
Kaukola Seppää	105488			61.05	29.82		Precipitation	1925	1940
Kauniainen	104243			60.22	24.71	45	Air quality (urban)	1987	1992
Kauniainen 2	104012			60.21	24.73	22	Air quality (urban)	2000	2000
Kauniainen 4	104075			60.21	24.71	20	Air quality (urban)	2012	2013
Kauniainen Kauniaistentie	105405			60.21	24.73	22	Air quality (urban)	2018	
Kaustinen	105588			63.6	23.77		Precipitation	1925	1930
Kaustinen Tastula	101665	4204		63.59	23.72	74	Precipitation	1925	
Kauvatsa Yttilä	105993			61.35	22.5		Precipitation	1943	1946
Keikyä Aarikkala	105729			61.27	22.67		Precipitation	1942	1962
Keitele	105685			63.18	26.42		Precipitation	1923	1933
Keitele Hamula	106101			63.05	26.47		Precipitation	1942	1944
Keitele kk	101568	3515		63.17	26.35		Precipitation	1981	1987
Keitele Tossavanlahti	106065			63.28	26.23		Precipitation	1942	1946
Keitele Vuonamo	105497			63.23	26.33		Precipitation	1939	1947
Kemi Ajos	101846	6307	2862	65.67	24.52	2	Weather	1973	
Kemi Ajos	100539			65.67	24.52	0	Mareograph	1922	
Kemi I lighthouse	101783	5309	2863	65.39	24.1	25	Weather	1978	
Kemi Karihaara	106273			65.75	24.53		Precipitation	1929	1933
Kemi Kemi-Tornio airport	101840	6301	2864	65.78	24.58	10	Weather	1945	
Kemi Mlk Alapaakkola	106053			65.87	24.63		Precipitation	1942	1943
Kemi Paattio	104258			65.77	24.55	6	Air quality (urban)	1992	2011
Kemi Paloasema	104356			65.74	24.59	3	Air quality (urban)	1992	2011
Kemi Syväkangas	106416			65.73	24.6	8	Air quality (urban)	2013	2014
Kemi Takajärvi	104257			65.73	24.63	9	Air quality (urban)	1992	2011
Kemijärvi airfield	101950	7607	2814	66.72	27.16	208	Weather	2006	
Kemijärvi Halosenranta	101948	7605		66.67	27.5	171	Precipitation	1974	2006
Kemijärvi Isokylä	106062			66.67	27.58		Precipitation	1939	1943
Kemijärvi Joutsijärvi	105780			66.68	27.98		Precipitation	1939	1948
Kemijärvi Jumisko	101944	7601		66.52	27.78	180	Weather	1953	1981
Kemijärvi Lehtosalmi	101949	7606	5337	66.56	27.7	160	Weather	1981	2008
Kemijärvi Lomakylä	101876	6603		66.48	27.75	250	Precipitation	1967	2000
Kemijärvi Ryti-Lehtola	101945	7602		66.57	27.7	160	Precipitation	1961	1996
Kemijärvi Tapionniemi	105680			66.9	27.43		Precipitation	1949	1958
Kemijärvi Tohmo	106237			66.75	27.38		Precipitation	1942	1943
Keminmaa	104292			65.8	24.54	14	Air quality (urban)	1992	2011
Keminmaa	101849	6310	5764	65.8	24.61	12	Weather	1996	2000
Keminmaa Liedakkala	101842	6303		65.85	24.58	10	Precipitation	1951	2009
Keminmaa Puukkokumpu	101854	6403		65.92	25.08	77	Precipitation	1969	2002
Kemiö Mattkärr	105788			60.13	22.63		Precipitation	1946	1966
Kemiö Mattkärr	100938	107		60.13	22.65	21	Precipitation	1946	2004
Kemiö Vreta	105444			60.15	22.7		Precipitation	1922	1946
Kemiönsaari Kalvören	654923			59.9	22.63	0	Buoy	2013	
Kemiönsaari Kemiö	100951	120	2906	60.17	22.76	12	Weather	2009	
Kemiönsaari Vänö	100945	114	2743	59.87	22.19	10	Weather	1990	
Kerava	106169			60.4	25.1		Precipitation	1927	1928
Kerava	104104			60.4	25.1	50	Air quality (urban)	2005	
Kerimäki	106224			61.92	29.28		Precipitation	1922	1930
Kerimäki Kirkonkylä	106391			62	29.22		Precipitation	1924	1926
Kerimäki Rauvanniemi	101445	2805		61.96	29.46	118	Precipitation	1953	2008
Kerimäki Yläkuona	101444	2804		61.92	29.28	85	Precipitation	1920	1998
Kerimäki Yläkuona	105848			61.98	29.28		Precipitation	1934	1937
Kesälahti kk	101443	2803		61.88	29.83	95	Precipitation	1948	2005
Kesälahti Mäntyniemi	101454	2814	5379	61.88	29.84	90	Weather	1989	2000
Kesälahti Salokylä	105994			61.95	29.77		Precipitation	1936	1939
Keuru Pohjoislahti	105752			62.2	24.77		Precipitation	1932	1942
Keuruu	105807			62.25	24.45		Precipitation	1923	1925
Keuruu Pihlajavesi	101332	2318		62.33	24.3	180	Precipitation	1947	2008
Keuruu Pihlajavesi Lapin koulu	101331	2317		62.32	24.13	145	Precipitation	1932	1982
Keuruu Riiho	101329	2315		62.22	24.41	120	Precipitation	1969	1999
Keuruu Suolahti	101330	2316		62.27	24.71	110	Precipitation	1942	1993
Keuruu Suolahti	105859			62.28	24.55		Precipitation	1929	1945
Kihniö Aitoneva	101294	2202		62.2	23.31	171	Weather	1943	1993
Kihniö Kankari	101302	2210		62.18	23.08	150	Precipitation	1910	1993
Kiihtelysvaara	105516			62.6	30.22		Precipitation	1922	1930
Kiihtelysvaara Huhtilampi	106285			62.38	30.35		Precipitation	1936	1938
Kiihtelysvaara Kiihtelyksenkyl	105591			62.48	30.25		Precipitation	1942	1966
Kiihtelysvaara Ruskeakoski	101461	2904		62.43	30.45		Precipitation	1969	1980
Kiihtelysvaara Röksä	101637	3905		62.6	30.23	130	Precipitation	1922	1979
Kiikala Kirkonkylä	105696			60.47	23.55		Precipitation	1943	1947
Kiikala Kruusila	100962	212		60.37	23.43		Precipitation	1970	1996
Kiikka	105561			61.33	22.77		Precipitation	1922	1932
Kiikoinen Jaara	101084	1120		61.42	22.58		Precipitation	1970	1996
Kiikoinen Kuorsmaa	105909			61.5	22.57		Precipitation	1925	1945
Kiiminki Hannus	106089			65.17	25.97		Precipitation	1935	1944
Kirkkonummi	100998	332	5294	60.24	24.38	43	Weather	1991	1997
Kirkkonummi Kylmälä	105544			60.23	24.4		Precipitation	1938	1940
Kirkkonummi Masaby	105795			60.15	24.52		Precipitation	1942	1945
Kirkkonummi Mäkiluoto	100997	331	2794	59.92	24.35	2	Weather	1989	
Kirkkonummi Pickala	100977	310		60.1	24.35	20	Precipitation	1962	1988
Kirkkonummi Veikkola	105418			60.27	24.43	54	Air quality (urban)	2017	
Kirkkonummi Österby	106246			60.18	24.43		Precipitation	1941	1945
Kirvu	106145			61.15	29.1		Precipitation	1926	1931
Kirvu Kirkonkylä	106011			61.07	29.28		Precipitation	1942	1945
Kisko Orijärvi	106153			60.23	23.57		Precipitation	1956	1966
Kisko Tieksmäki	105486			60.27	23.37		Precipitation	1935	1957
Kitee	106000			61.92	30.07		Precipitation	1925	1930
Kitee Kesälahti	100690		2995	61.91	29.8	174	Radar	2014	
Kitee kk	101458	2901		62.1	30.13	104	Weather	1936	1988
Kitee Puhossalo	106317			62.12	29.78		Precipitation	1936	1937
Kitee Puhossalo	101449	2809		62.12	29.78		Precipitation	1916	1970
Kitee Päätye	105642			62.08	30.12		Precipitation	1936	1956
Kitee Syrjäsalmi	101455	2815	5479	62.03	29.9		Weather	1997	1999
Kittilä airport	101986	8311	2720	67.69	24.85	193	Weather	1999	
Kittilä Alakylä	101918	7311		67.26	24.97	190	Precipitation	2003	
Kittilä Alakylä	101911	7304		67.28	24.88	170	Precipitation	1969	2003
Kittilä Hukkakumpu	101977	8301		67.72	24.85	197	Weather	1962	1973
Kittilä Kaukonen	101915	7308	5324	67.47	24.91	182	Weather	1973	1999
Kittilä Kenttärova	101987	8312	2824	67.99	24.24	347	Weather	2002	
Kittilä Kiistala	101993	8403		67.87	25.33	207	Precipitation	1956	1991
Kittilä Kinisjärvi	106069			67.23	25.22		Precipitation	1948	1949
Kittilä kk	101979	8304		67.65	24.9		Precipitation	1968	1968
